Delegator,Amount
cosmos19yc5znpxculwdkx64p3nu4gmc62n0tvylavh04,15.99398
cosmos1cqsalh639m4053nxdcak5ne9ptpkh6szz0mtg4,37.657783
cosmos1lp9t6q7dgy8qmzt9ysmqcpxsksrh0xe8ld6sfp,0.50005
cosmos1v5guszwy87q0246rejgcyhr2q6jh3mp3tdnhdk,73.79
cosmos169j62raruz2gl5hx9u3tda7g9lrkxqpqm4ur57,50
cosmos1990exfsuhzpt52z4kdp0g9a55dmzp5kvzz5awt,0.000001
cosmos1jxhwwey998k2j9c2klg5cx6s0fezx705wg4m5d,48.029058
cosmos1jq88gng6lcanqsedyhfesnekjakqe5pjy8yp8e,165.38189
cosmos1845wp5demlpqt38fwh2x0da688jf0v58q0kp3v,195
cosmos1gvrcxuyjgp2cdhkt7t48ztk23tffkx4xcykeuu,2.98
cosmos1vhaumxcnqe4qtxv88xf2sdukhe5sjtaugezqlf,5.469936
cosmos1gm59prdaeqtq4gjlq6xw72g28dymc4s2z0dz65,153
cosmos1gf2jk0qydwghv0k0du89apayyl8casgpj54tr5,20
cosmos1hvsngqz52mtt3lshselzmwwmy9z8k89knx2hkt,119.794
cosmos1qrexux4wxjq384jn43yarlw4eyw69pxv8rgmrn,780
cosmos1fuc0mxlaw82flluv0mwh3jw47efxexyjsyfsp5,0.03
cosmos1p9usvj39e2qkkhtxwkpuph0fdz7ytam3uqq8ue,100
cosmos1vaqfthjmmy3y3dtpjrgp23u5d5dy7jlc3kmp99,64.464446
cosmos15dymd0ms29fgngte4n7aadeapyjvx6tq9jgsse,13.948479
cosmos1h7xs77ysr9stfxgfgu76vk077fkuq6snqt2u79,14.073106
cosmos13nac96eaay5upkk3x9n847vufntxgz3dd355yu,37.558889
cosmos1jtjxehwd97srcucj9ea7nyyaa57h6c0hvu26sd,18.016015
cosmos1tt78y6jasthzr4qg0n0t8ezep94g8gh6s6ujmx,194.47268
cosmos1qsvj038a0yxg4pcwhdzxpk9fw82n0pu5zqqzh6,16.406369
cosmos1cx2338ckwc3pgtzrkd6wskgj3zpct249umju9a,827
cosmos1qkut5gsq6mf9u7dzrjuavxtck28nsy6zvhz8rv,15.021507
cosmos1l4ef35n3m3gnpdvqpklaj9txzd6qtmrmu53ljg,89.899
cosmos19ylqku5337vlmy7caph2gkq9ywsjj0u9syh5kc,5.032879
cosmos1t4vtdsc2vn040lnwl5c35tlr2gvrgm8pm30y50,100.593793
